arpt_id,icao_id,arpt_name,rwy_id,lat_decimal,long_decimal,observation_time,wind_speed_kt,flight_category,raw_text
00C,,ANIMAS AIR PARK,01/19,37.20317833,-107.8691953,,,,
00F,,BROADUS,10/28,45.47047222,-105.4571389,,,,
00M,,THIGPEN FLD,16/34,31.95375,-89.23533333,,,,
00N,,BUCKS,18/36,39.47302777,-75.18441666,,,,
00R,,LIVINGSTON MUNI,12/30,30.68586111,-95.01791666,,,,
00S,,MC KENZIE BRIDGE STATE,06/24,44.18155555,-122.0855556,,,,
00U,,BIG HORN COUNTY,08/26,45.74438888,-107.6604444,2023-12-27T22:35:00Z,5.0,VFR,K00U 272235Z AUTO 16005KT 10SM CLR 05/M05 A3017 RMK A01
00W,,LOWER GRANITE STATE,14/32,46.67275,-117.4416667,,,,
01A,,PURKEYPILE,05/23,62.94075555,-152.2696097,,,,
01G,,PERRY-WARSAW,04/22,42.74134861,-78.05214805,,,,
01J,,HILLIARD AIRPARK,18/36,30.68596666,-81.90634305,,,,
01K,,CALDWELL MUNI,17/35,37.03661111,-97.58555555,,,,
01M,,TISHOMINGO COUNTY,17/35,34.49181761,-88.20121033,,,,
01U,,DUCKWATER,03/21,38.85325,-115.6346667,,,,
02A,,CHILTON COUNTY,08/26,32.85048447,-86.61143247,,,,
02C,,CAPITOL DRIVE,03/21,43.08964136,-88.17944525,,,,
02G,,COLUMBIANA COUNTY,07/25,40.67330555,-80.64141666,,,,
02T,,WISE RIVER,02/20,45.77002777,-112.9804722,,,,
03B,,MANSFIELD MUNI,07/25,37.12677777,-92.62161111,,,,
03D,,MEMPHIS MEML,12/30,40.44725,-92.22694444,,,,
03N,,UTIRIK,07/25,11.23333333,169.85,,,,
03S,,SANDY RIVER,08/26,45.40161111,-122.2286944,,,,
04A,,FRANK SIKES,04/22,31.73638694,-86.26245463,,,,
04G,,LANSDOWNE,02/20,41.13047222,-80.61958333,,,,
04M,,CALHOUN COUNTY,15/33,33.93008333,-89.34327777,,,,
04V,,SAGUACHE MUNI,11/29,38.09939444,-106.1743278,2023-12-27T22:32:00Z,8.0,VFR,K04V 272232Z AUTO 13008KT 10SM CLR 01/M11 A3017 RMK AO2
04W,,FIELD OF DREAMS,06/24,46.02286811,-92.89517441,2023-12-27T22:35:00Z,0.0,MVFR,K04W 272235Z AUTO 00000KT 10SM OVC015 01/00 A3009 RMK AO2
04Y,,HAWLEY MUNI,16/34,46.88377777,-96.35061111,,,,
05C,,GRIFFITH-MERRILLVILLE,08/26,41.519841,-87.39950797,,,,
05D,,NEW TOWN MUNI,12/30,47.96785416,-102.4781164,,,,
05K,PAKX,WILDER RUNWAY,06R/24L,60.19848083,-154.3230492,,,,
05N,,SOUTH OAKS AERODROME,07/25,35.48218472,-77.3557743,,,,
05S,,VERNONIA MUNI,09/27,45.85210625,-123.2428693,,,,
05U,,EUREKA,18/36,39.60375,-116.0036111,2023-12-27T22:30:00Z,0.0,VFR,K05U 272230Z AUTO 00000KT 10SM 05/00 A3019 RMK A01
05V,,BLANCA,03/21,37.41111916,-105.55168,,,,
05Y,,HENNING MUNI,17/35,46.30398888,-95.44225833,,,,
06A,,MOTON FLD MUNI,13/31,32.46047222,-85.68002777,,,,
06C,,SCHAUMBURG RGNL,11/29,41.98934083,-88.10124277,2023-12-27T22:35:00Z,6.0,VFR,K06C 272235Z AUTO 03006KT 10SM SCT080 BKN085 BKN120 04/00 A2995 RMK AO2 T00351005
